item_id,item_name,category_id,base_cost,base_price,is_active,introduced_date,demand_tier,wastage_tag,price_sensitivity_tag,seasonal_tag,promo_dependent_tag
M0052,Roast Chicken,C04,7.43,18.6,True,2023-12-17,Low,High,Low,False,False
M0053,BBQ Platter,C04,6.18,19.76,True,2025-02-18,Medium,High,Low,True,False
M0054,Chicken Tikka,C04,13.43,48.03,True,2020-10-14,Medium,Normal,Medium,False,False
M0055,Mutton Biryani,C04,10.23,25.67,True,2024-04-11,Low,Normal,High,False,True
M0056,Grilled Chicken Breast,C04,8.82,15.07,True,2020-09-21,Low,Normal,High,False,False
M0057,Beef Stroganoff,C04,9.61,12.17,True,2025-01-06,High,Normal,High,False,False
M0058,Spicy Grilled Salmon,C04,3.44,4.3,True,2023-06-14,Low,Normal,Medium,False,False
M0059,Classic Beef Steak,C04,13.84,34.78,True,2024-01-09,Medium,High,Low,False,False
M0060,Family-Size Chicken Karahi,C04,12.92,16.49,True,2023-01-15,Medium,High,Medium,True,True
M0061,Chef's Special Lamb Chops,C04,3.85,8.36,True,2022-01-07,Low,Normal,Low,False,False
M0062,Grilled-Style Butter Chicken,C04,12.49,17.45,True,2020-11-26,Low,High,Low,True,False
M0063,Spicy Fish & Chips,C04,8.57,33.71,True,2023-07-15,High,Normal,Low,False,False
M0064,Truffle Pasta,C05,10.5,18.19,True,2024-09-01,Medium,Normal,Low,True,False
M0065,Spaghetti Bolognese,C05,13.43,42.52,True,2023-07-04,Medium,Normal,Medium,False,False
M0066,Fettuccine Alfredo,C05,6.56,13.13,True,2023-08-04,High,Normal,Low,False,False
M0067,Penne Arrabiata,C05,6.06,16.75,True,2024-05-28,Medium,Normal,Low,False,False
M0068,Creamy Risotto,C05,10.85,22.51,True,2021-10-28,Medium,Normal,Low,True,True
M0069,Mushroom Ravioli,C05,6.83,18.78,True,2024-02-01,Low,Normal,Medium,False,False
M0070,Pesto Pasta,C05,12.18,35.1,True,2021-08-24,Medium,Normal,Medium,True,False
M0071,Wild Mushroom Risotto,C05,11.85,47.37,True,2021-10-01,Low,Normal,Low,False,False
M0072,Seafood Linguine,C05,5.34,9.21,True,2021-12-12,High,Normal,Low,False,False
M0073,Spicy Truffle Pasta,C05,9.61,15.13,True,2025-03-07,High,Normal,Medium,False,False
M0074,Classic Spaghetti Bolognese,C05,12.3,23.71,True,2022-03-02,Medium,Normal,Medium,False,True
M0075,Family-Size Fettuccine Alfredo,C05,11.18,23.4,True,2022-01-08,Low,Normal,High,True,False
M0076,Chef's Special Penne Arrabiata,C05,9.28,15.1,True,2024-08-15,Medium,Normal,Medium,False,False
M0077,Grilled-Style Creamy Risotto,C05,7.06,14.81,True,2022-08-03,Low,Normal,High,False,False
M0078,Spicy Mushroom Ravioli,C05,5.47,9.52,True,2021-06-29,Low,Normal,Medium,False,False
M0079,Margherita Pizza,C06,3.37,4.36,True,2024-03-17,High,Normal,High,False,False
M0080,Pepperoni Pizza,C06,6.48,20.77,True,2024-08-31,Medium,Normal,High,False,True
M0081,BBQ Chicken Pizza,C06,4.44,6.5,True,2022-12-28,High,High,High,False,False
M0082,Veggie Supreme Pizza,C06,6.69,12.21,True,2023-06-15,Medium,High,Low,False,True
M0083,Four Cheese Pizza,C06,12.55,42.19,True,2024-01-26,High,Normal,Low,False,False
M0084,Hawaiian Pizza,C06,4.91,7.82,True,2021-12-29,Medium,Normal,Medium,False,False
M0085,Paneer Tikka Pizza,C06,2.92,4.18,True,2021-09-21,Low,Normal,Medium,False,True
M0086,Spicy Margherita Pizza,C06,7.65,14.42,True,2022-06-17,High,Normal,Medium,True,False
M0087,Classic Pepperoni Pizza,C06,4.93,7.54,True,2024-05-08,High,Normal,Medium,False,False
M0088,Family-Size BBQ Chicken Pizza,C06,8.23,10.32,True,2021-09-28,Medium,Normal,Low,False,True
M0089,Chef's Special Veggie Supreme Pizza,C06,5.76,9.11,True,2023-10-06,Medium,Normal,Medium,False,False
M0090,Grilled-Style Four Cheese Pizza,C06,5.23,6.63,True,2020-11-08,High,Normal,High,False,False
M0091,Spicy Hawaiian Pizza,C06,4.49,14.39,True,2021-04-10,High,Normal,Medium,False,True
M0092,Beef Burger,C07,7.08,26.39,True,2021-03-25,Low,Normal,Medium,False,False
M0093,Chicken Burger,C07,13.19,25.56,True,2025-04-08,Medium,Normal,Low,False,False
M0094,Zinger Burger,C07,7.39,13.55,True,2024-04-18,High,High,Low,False,False
M0095,Cheese Burger,C07,4.28,7.62,True,2020-12-21,Medium,High,Medium,False,True
M0096,Veggie Burger,C07,13.88,21.14,True,2025-05-27,Low,Normal,Low,False,False
M0097,Smoky BBQ Burger,C07,7.92,13.14,True,2021-01-25,Medium,Normal,Low,False,True
M0098,Double Patty Burger,C07,10.9,37.98,True,2023-10-24,High,High,Low,False,False
M0099,Spicy Beef Burger,C07,4.11,11.02,True,2023-05-02,High,Normal,High,False,False
M0100,Classic Chicken Burger,C07,8.52,13.42,True,2024-01-30,Low,Normal,Low,False,False
M0101,Family-Size Zinger Burger,C07,7.82,11.69,True,2025-03-18,Low,Normal,Medium,False,False
M0102,Chef's Special Cheese Burger,C07,8.75,28.58,True,2024-05-25,Medium,High,Low,False,False
M0103,Grilled-Style Veggie Burger,C07,4.1,10.97,True,2022-05-27,Medium,Normal,Low,False,False
M0104,Spicy Smoky BBQ Burger,C07,6.08,8.67,True,2020-09-01,Low,High,Medium,False,False
M0105,Chocolate Lava Cake,C08,6.43,18.0,True,2021-07-22,High,Normal,High,False,False
M0106,Cheesecake,C08,4.22,5.92,True,2023-10-26,Low,Normal,Low,False,False
M0107,Tiramisu,C08,5.4,8.4,True,2024-05-22,High,Normal,Medium,False,False
M0108,Ice Cream Sundae,C08,13.39,17.67,True,2021-11-27,Medium,Normal,Low,True,False
M0109,Baklava,C08,13.22,25.87,True,2022-10-13,Medium,Normal,Low,False,False
M0110,Chocolate Brownie,C08,9.48,15.92,True,2023-05-13,Low,Normal,Low,False,True
M0111,Creme Caramel,C08,13.83,39.89,True,2021-12-23,High,Normal,Low,False,False
M0112,Fruit Tart,C08,7.09,8.68,True,2023-01-04,Medium,Normal,High,False,False
M0113,Spicy Chocolate Lava Cake,C08,8.68,29.12,True,2024-10-12,Medium,Normal,Low,False,False
M0114,Classic Cheesecake,C08,7.7,10.06,True,2024-02-05,High,Normal,Medium,False,False
M0115,Family-Size Tiramisu,C08,9.18,19.51,True,2024-10-19,High,Normal,High,False,True
M0116,Chef's Special Ice Cream Sundae,C08,7.27,9.1,True,2024-03-13,Low,Normal,Medium,True,False
M0117,Grilled-Style Baklava,C08,4.91,15.78,True,2021-05-28,High,Normal,High,False,False
M0118,Spicy Chocolate Brownie,C08,3.26,8.47,True,2022-06-08,Medium,Normal,Medium,False,False
M0119,Lemonade,C09,4.29,5.79,True,2022-07-24,Low,Normal,Medium,False,False
M0120,Iced Tea,C09,7.2,8.63,True,2024-02-09,High,Normal,Low,True,False
M0121,Cold Coffee,C09,5.16,11.55,True,2021-05-24,High,High,Low,False,False
M0122,Fresh Orange Juice,C09,5.24,6.63,True,2022-04-21,High,Normal,Low,False,False
M0123,Chocolate Milkshake,C09,10.18,14.0,True,2023-03-07,Medium,Normal,High,True,False
M0124,Soft Drink,C09,2.81,3.79,True,2022-04-23,Medium,Normal,Low,False,False
M0125,Mineral Water,C09,5.48,8.81,True,2023-05-06,Medium,Normal,Low,False,False
M0126,Mint Margarita (Mocktail),C09,7.52,11.17,True,2023-07-21,Low,Normal,High,False,False
M0127,Spicy Lemonade,C09,12.79,34.56,True,2024-05-08,Medium,High,Medium,False,False
M0128,Classic Iced Tea,C09,5.47,7.14,True,2024-10-21,Low,Normal,Medium,False,False
M0129,Family-Size Cold Coffee,C09,2.71,8.99,True,2022-09-22,High,Normal,Medium,False,False
M0130,Chef's Special Fresh Orange Juice,C09,12.04,16.58,True,2022-10-25,High,High,Low,False,False
M0131,Grilled-Style Chocolate Milkshake,C09,9.41,20.87,True,2025-01-26,High,Normal,Medium,False,False
M0132,Spicy Soft Drink,C09,3.04,4.05,True,2021-05-06,Low,High,Low,False,False
M0133,French Fries,C10,5.82,9.14,True,2025-04-26,Low,Normal,Medium,False,False
M0134,Garlic Naan,C10,13.27,32.33,True,2020-10-02,High,High,Medium,False,True
M0135,Coleslaw,C10,8.21,16.69,True,2024-12-19,Medium,Normal,High,True,False
M0136,Mashed Potatoes,C10,8.2,18.77,True,2024-09-21,Medium,Normal,Low,False,False
M0137,Steamed Rice,C10,5.63,11.35,True,2022-01-23,Medium,High,Low,False,False
M0138,Grilled Vegetables,C10,7.63,10.33,True,2024-09-07,Medium,Normal,Low,False,False
M0139,Sauteed Spinach,C10,10.46,30.72,True,2021-02-20,High,Normal,Medium,False,False
M0140,Spicy French Fries,C10,2.95,6.91,True,2021-10-07,Low,Normal,Medium,False,True
M0141,Classic Garlic Naan,C10,10.52,15.66,True,2023-03-20,Low,Normal,Low,False,False
M0142,Family-Size Coleslaw,C10,12.21,18.54,True,2022-03-28,Low,High,Medium,False,True
M0143,Chef's Special Mashed Potatoes,C10,3.38,7.82,True,2025-03-23,Medium,Normal,High,False,False
M0144,Grilled-Style Steamed Rice,C10,11.59,17.59,True,2023-06-04,Medium,Normal,Low,False,True
M0145,Spicy Grilled Vegetables,C10,12.51,14.94,True,2023-06-11,Low,Normal,Low,False,False
M0146,Grilled Shrimp,C11,6.53,16.76,True,2022-03-29,Medium,Normal,Low,False,False
M0147,Fish Tikka,C11,11.34,18.92,True,2022-12-16,Medium,Normal,Medium,True,False
M0148,Prawn Masala,C11,5.8,8.63,True,2022-08-13,High,High,High,False,False
M0149,Butter Garlic Prawns,C11,6.92,15.65,True,2024-03-04,High,Normal,Low,True,False
M0150,Grilled Fish Fillet,C11,12.61,44.53,True,2022-06-24,Medium,Normal,High,False,False
M0151,Seafood Platter,C11,13.34,28.99,True,2020-10-03,Medium,Normal,Medium,False,False
M0152,Spicy Grilled Shrimp,C11,4.64,12.14,True,2025-07-08,Medium,High,Low,False,False
M0153,Classic Fish Tikka,C11,13.94,18.69,True,2021-10-07,Medium,Normal,Low,False,False
M0154,Family-Size Prawn Masala,C11,5.08,7.1,True,2021-07-16,Medium,Normal,Medium,True,False
M0155,Chef's Special Butter Garlic Prawns,C11,5.55,7.19,True,2024-12-09,Low,Normal,Low,False,False
M0156,Grilled-Style Grilled Fish Fillet,C11,8.83,11.07,True,2021-10-04,Medium,Normal,Medium,False,False
M0157,Spicy Seafood Platter,C11,3.43,4.78,True,2022-07-28,Medium,High,Low,False,False
M0158,Truffle Beef Sliders,C03,8.77,14.15,True,2026-09-13,Low,Normal,Medium,False,False
M0159,Charcoal Grilled Prawns,C02,6.81,14.15,True,2026-09-11,Low,Normal,Medium,False,False
M0160,Matcha Cheesecake,C01,9.15,18.46,True,2026-09-18,Low,Normal,Medium,False,False
